Accession	Organism	Kingdom	Sequence length	SP cleavage	label	N-term transmembrane	fold
Q99884	Homo sapiens	Metazoa	636		0	True	1
P24482	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	689		0	False	0
P30968	Homo sapiens	Metazoa	328		0	True	0
Q9FGS4	Arabidopsis thaliana	Viridiplantae	718		0	False	4
O13838	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	371		0	False	1
Q9EPB5	Mus musculus	Metazoa	311		0	False	4
P40573	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	187		0	False	3
P29509	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	319		0	False	0
O14279	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	154		0	False	1
Q21502	Caenorhabditis elegans	Metazoa	870		0	False	0
Q9W420	Drosophila melanogaster	Metazoa	1831		0	False	3
Q8VZS0	Arabidopsis thaliana	Viridiplantae	321		0	True	3
O94450	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	501		0	False	0
Q96MF7	Homo sapiens	Metazoa	247		0	False	3
Q84K96	Crocus sativus	Viridiplantae	369		0	False	3
Q10335	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	397		0	False	2
Q8IPX7	Drosophila melanogaster	Metazoa	232		0	False	4
Q6P1J9	Homo sapiens	Metazoa	531		0	False	1
Q6IDB6	Arabidopsis thaliana	Viridiplantae	182		0	False	0
Q91VJ5	Mus musculus	Metazoa	263		0	False	4
Q96GE9	Homo sapiens	Metazoa	116		0	True	2
Q53GS7	Homo sapiens	Metazoa	698		0	False	3
Q9FFK6	Arabidopsis thaliana	Viridiplantae	810		0	False	4
Q84TH9	Arabidopsis thaliana	Viridiplantae	959		0	False	3
Q9VSA3	Drosophila melanogaster	Metazoa	419		0	False	0
P25367	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	405		0	False	3
O09171	Rattus norvegicus	Metazoa	407		0	False	0
Q9ZQS5	Cyanidium caldarium	Other	154		0	False	2
Q3E772	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	92		0	False	4
P43619	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	295		0	False	1
Q06525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465		0	False	3
P27516	Dunaliella salina	Viridiplantae	172		0	False	4
Q3MHJ5	Bos taurus	Metazoa	138		0	False	4
Q6MG82	Rattus norvegicus	Metazoa	306		0	False	0
P22138	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1203		0	False	3
Q8VIM4	Mus musculus	Metazoa	307		0	True	4
Q6DYE8	Mus musculus	Metazoa	874		0	True	3
P70279	Mus musculus	Metazoa	355		0	False	2
G2HK15	Caenorhabditis elegans	Metazoa	367		0	False	2
O74469	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	133		0	False	0
Q03067	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	99		0	False	1
Q9VCX1	Drosophila melanogaster	Metazoa	1541		0	False	4
Q7ZT48	Xenopus laevis	Metazoa	221		0	False	1
Q9M8S7	Arabidopsis thaliana	Viridiplantae	313		0	False	1
O15743	Dictyostelium discoideum	Other	975		0	False	4
O48721	Arabidopsis thaliana	Viridiplantae	321		0	False	1
P24391	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	349		0	False	4
A0A509AFM3	Plasmodium berghei (strain Anka)	Other	304		0	True	2
P91853	Caenorhabditis elegans	Metazoa	356		0	False	2
O13046	Xenopus laevis	Metazoa	1127		0	False	4
Q9SI64	Arabidopsis thaliana	Viridiplantae	702		0	False	0
Q9VEC3	Drosophila melanogaster	Metazoa	648		0	False	4
O74518	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	336		0	False	0
Q6VMQ6	Homo sapiens	Metazoa	1270		0	False	3
Q9HAZ2	Homo sapiens	Metazoa	1276		0	False	0
P38228	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	572		0	False	4
Q93V85	Arabidopsis thaliana	Viridiplantae	417		0	False	1
Q8CCE9	Mus musculus	Metazoa	783		0	False	3
Q9SPU7	Arabidopsis thaliana	Viridiplantae	1123		0	False	1
Q03429	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	123		0	False	2
Q09821	Sus scrofa	Metazoa	138		0	False	0
Q9UUB6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	300		0	False	2
Q62264	Mus musculus	Metazoa	150		0	False	2
P19426	Mus musculus	Metazoa	375		0	False	4
Q8IZU0	Homo sapiens	Metazoa	186		0	False	3
Q6K431	Oryza sativa subsp. japonica	Viridiplantae	1022		0	False	4
Q9FGW9	Arabidopsis thaliana	Viridiplantae	1061		0	False	0
Q93VM9	Arabidopsis thaliana	Viridiplantae	599		0	False	4
P97452	Mus musculus	Metazoa	732		0	False	0
P59382	Rattus norvegicus	Metazoa	212		0	False	1
Q06011	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	112		0	True	1
Q7TNG8	Mus musculus	Metazoa	484		0	False	2
O60336	Homo sapiens	Metazoa	1514		0	False	0
P53148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	917		0	False	3
P0C0A9	Rattus norvegicus	Metazoa	76		0	False	4
Q9S713	Arabidopsis thaliana	Viridiplantae	562		0	False	4
Q6PCD5	Homo sapiens	Metazoa	774		0	False	0
Q9JLI8	Mus musculus	Metazoa	962		0	False	3
O75475	Homo sapiens	Metazoa	530		0	False	0
Q63HN8	Homo sapiens	Metazoa	5207		0	False	3
O59773	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	994		0	False	4
Q9M0V3	Arabidopsis thaliana	Viridiplantae	1088		0	False	3
P36521	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	249		0	False	4
Q92917	Homo sapiens	Metazoa	476		0	False	2
O96624	Dictyostelium discoideum	Other	174		0	False	2
Q6PDY0	Mus musculus	Metazoa	202		0	False	0
Q9P000	Homo sapiens	Metazoa	198		0	False	2
Q96255	Arabidopsis thaliana	Viridiplantae	430		0	False	1
O74485	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	581		0	False	4
Q9H3K2	Homo sapiens	Metazoa	345		0	True	3
Q7XA66	Arabidopsis thaliana	Viridiplantae	242		0	False	3
Q7S4E0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	165		0	False	4
O60356	Homo sapiens	Metazoa	82		0	False	0
G8B839	Candida parapsilosis (strain CDC 317 / ATCC MYA-4646)	Fungi	266		0	False	2
Q8R5A0	Mus musculus	Metazoa	433		0	False	4
Q8N2Y8	Homo sapiens	Metazoa	1516		0	False	2
P0CY08	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210		0	False	2
Q9FFD2	Arabidopsis thaliana	Viridiplantae	348		0	False	1
P18887	Homo sapiens	Metazoa	633		0	False	4
Q9H467	Homo sapiens	Metazoa	287		0	False	1
Q80UP5	Mus musculus	Metazoa	588		0	False	0
X5HYT8	Oryza sativa subsp. japonica	Viridiplantae	425		0	False	1
P08635	Rattus norvegicus	Metazoa	263		0	False	2
Q9VEN1	Drosophila melanogaster	Metazoa	2210		0	False	1
Q8NC24	Homo sapiens	Metazoa	303		0	True	3
Q91Z31	Mus musculus	Metazoa	531		0	False	0
P87238	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	215		0	False	3
Q9SD11	Arabidopsis thaliana	Viridiplantae	103		0	False	2
Q8N7J2	Homo sapiens	Metazoa	671		0	False	2
Q12497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	93		0	False	2
Q9QYL0	Mus musculus	Metazoa	170		0	False	2
Q8GTR4	Arabidopsis thaliana	Viridiplantae	965		0	False	3
Q9DBA9	Mus musculus	Metazoa	547		0	False	1
Q8GZR2	Euglena gracilis	Other	496		0	False	0
O88457	Rattus norvegicus	Metazoa	1765		0	False	2
F6TQD1	Mus musculus	Metazoa	307		0	False	4
Q56P03	Homo sapiens	Metazoa	285		0	False	0
P47096	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177		0	False	2
Q8IAX8	Plasmodium falciparum (isolate 3D7)	Other	248		0	False	2
P52960	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	996		0	False	4
O36030	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	391		0	False	0
Q84LK0	Arabidopsis thaliana	Viridiplantae	1118		0	False	0
Q4QAU9	Leishmania major	Other	549		0	False	3
Q8L5Z4	Arabidopsis thaliana	Viridiplantae	584		0	False	2
Q8LL04	Arabidopsis thaliana	Viridiplantae	1241		0	False	2
P42845	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420		0	False	2
O42637	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	797		0	False	0
Q9JM80	Rattus norvegicus	Metazoa	424		0	True	2
Q7K3L1	Drosophila melanogaster	Metazoa	921		0	False	0
Q9BWF2	Homo sapiens	Metazoa	469		0	False	4
Q96PP9	Homo sapiens	Metazoa	640		0	False	4
Q9Z2A5	Mus musculus	Metazoa	516		0	False	0
Q12298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	539		0	False	0
Q9LJ87	Arabidopsis thaliana	Viridiplantae	415		0	False	0
P10069	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	432		0	False	3
Q63285	Rattus norvegicus	Metazoa	419		0	False	2
Q1K6U7	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	225		0	False	1
Q5JVS0	Homo sapiens	Metazoa	413		0	False	0
G5EDW5	Caenorhabditis elegans	Metazoa	952		0	False	3
O94716	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	233		0	False	0
F4KAV2	Arabidopsis thaliana	Viridiplantae	442		0	False	2
Q84MZ4	Arabidopsis thaliana	Viridiplantae	412		0	False	3
Q9Y4P1	Homo sapiens	Metazoa	393		0	False	1
Q02606	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	381		0	False	2
A0A0U2UYC4	Mycosarcoma maydis	Fungi	493		0	False	0
Q12382	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	290		0	True	2
Q02100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	647		0	False	1
Q05192	Drosophila melanogaster	Metazoa	808		0	False	2
F4KHG6	Arabidopsis thaliana	Viridiplantae	489		0	False	1
Q9ASX5	Arabidopsis thaliana	Viridiplantae	540		0	False	3
Q9Y6J0	Homo sapiens	Metazoa	2220		0	False	3
P30307	Homo sapiens	Metazoa	473		0	False	0
Q08558	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	271		0	False	4
Q8NI35	Homo sapiens	Metazoa	1801		0	False	4
Q969S2	Homo sapiens	Metazoa	332		0	False	3
Q9LDD5	Arabidopsis thaliana	Viridiplantae	373		0	False	2
P54198	Homo sapiens	Metazoa	1017		0	False	1
Q9Y253	Homo sapiens	Metazoa	713		0	False	3
Q8K5A9	Rattus norvegicus	Metazoa	228		0	True	4
Q9SS48	Arabidopsis thaliana	Viridiplantae	629		0	False	3
Q08157	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	551		0	True	4
P51808	Homo sapiens	Metazoa	116		0	False	0
Q9NVI7	Homo sapiens	Metazoa	586		0	False	0
P07834	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	779		0	False	3
Q6ZIK5	Oryza sativa subsp. japonica	Viridiplantae	394		0	False	4
Q96BN2	Homo sapiens	Metazoa	335		0	False	0
Q8N9A8	Homo sapiens	Metazoa	125		0	True	2
Q9UIG8	Homo sapiens	Metazoa	710		0	True	3
Q8VEE1	Mus musculus	Metazoa	365		0	False	1
P08703	Penicillium chrysogenum	Fungi	331		0	False	3
Q8C8Y5	Mus musculus	Metazoa	445		0	False	3
Q1ACB3	Arabidopsis thaliana	Viridiplantae	386		0	False	4
O95989	Homo sapiens	Metazoa	172		0	False	2
Q12150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2958		0	True	2
Q06801	Solanum tuberosum	Viridiplantae	576		0	False	4
Q9W2H9	Drosophila melanogaster	Metazoa	541		0	False	4
Q96HW7	Homo sapiens	Metazoa	963		0	False	4
Q70CQ1	Homo sapiens	Metazoa	688		0	False	1
Q86TW2	Homo sapiens	Metazoa	530		0	False	0
O95059	Homo sapiens	Metazoa	124		0	False	2
O74309	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	807		0	False	0
Q9LFC0	Arabidopsis thaliana	Viridiplantae	360		0	False	3
P97367	Mus musculus	Metazoa	477		0	False	0
Q10740	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	671		0	False	3
Q9W4X9	Drosophila melanogaster	Metazoa	721		0	False	1
Q584D1	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	639		0	False	2
P46677	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1066		0	False	2
Q9UMS0	Homo sapiens	Metazoa	254		0	False	2
Q652K4	Oryza sativa subsp. japonica	Viridiplantae	315		0	False	3
Q8N2H3	Homo sapiens	Metazoa	581		0	False	0
Q1K8E0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	256		0	False	2
P41920	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	201		0	False	2
Q53JF7	Oryza sativa subsp. japonica	Viridiplantae	138		0	False	3
Q10252	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	358		0	True	1
Q9FGT8	Arabidopsis thaliana	Viridiplantae	186		0	False	4
P22438	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	575		0	False	2
Q3E7A8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	72		0	False	4
P82245	Spinacia oleracea	Viridiplantae	148		0	False	4
Q9JJG9	Mus musculus	Metazoa	693		0	False	3
Q96305	Arabidopsis thaliana	Viridiplantae	136		0	False	4
P17937	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	249		0	False	2
Q7SA60	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	228		0	False	2
Q80VY9	Mus musculus	Metazoa	698		0	False	0
F2Z699	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	582		0	False	0
Q9S752	Arabidopsis thaliana	Viridiplantae	388		0	False	1
Q12504	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	494		0	False	3
Q8IDM6	Plasmodium falciparum (isolate 3D7)	Other	422		0	True	3
Q96P66	Homo sapiens	Metazoa	508		0	True	1
Q12906	Homo sapiens	Metazoa	894		0	False	1
Q9VIF5	Drosophila melanogaster	Metazoa	981		0	False	2
Q61818	Mus musculus	Metazoa	1889		0	False	1
Q9BUH6	Homo sapiens	Metazoa	204		0	False	1
P78917	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	550		0	False	0
Q8NBI5	Homo sapiens	Metazoa	491		0	True	4
Q5TB80	Homo sapiens	Metazoa	1403		0	False	1
P43596	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	787		0	False	0
Q6ZV65	Homo sapiens	Metazoa	393		0	False	3
P03880	Emericella nidulans	Fungi	488		0	False	4
G5EG51	Caenorhabditis elegans	Metazoa	1270		0	False	1
F4HRV8	Arabidopsis thaliana	Viridiplantae	596		0	False	1
Q08235	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	291		0	False	2
Q8IJX8	Plasmodium falciparum (isolate 3D7)	Other	107		0	False	2
Q96D98	Homo sapiens	Metazoa	161		0	False	3
Q6UXY1	Homo sapiens	Metazoa	529		0	False	3
Q6DN90	Homo sapiens	Metazoa	963		0	False	3
Q9URV3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	296		0	False	2
Q99ML9	Mus musculus	Metazoa	989		0	False	4
Q9CQZ6	Mus musculus	Metazoa	104		0	True	2
P39103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	70		0	True	3
Q9UJA2	Homo sapiens	Metazoa	301		0	False	3
Q62209	Mus musculus	Metazoa	993		0	False	3
Q9H814	Homo sapiens	Metazoa	394		0	False	4
C4R4G9	Komagataella phaffii (strain GS115 / ATCC 20864)	Fungi	344		0	False	4
Q0VDF9	Homo sapiens	Metazoa	509		0	False	2
Q9UHP7	Homo sapiens	Metazoa	191		0	True	2
P40517	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	327		0	False	1
Q9WVE0	Mus musculus	Metazoa	198		0	False	3
Q6EPZ0	Oryza sativa subsp. japonica	Viridiplantae	318		0	False	2
Q9USX8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	239		0	False	2
P53725	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	186		0	False	3
Q15562	Homo sapiens	Metazoa	447		0	False	4
Q9UUG2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	621		0	False	3
Q99JB8	Mus musculus	Metazoa	424		0	False	1
Q9PTD5	Gallus gallus	Metazoa	335		0	False	2
Q9H444	Homo sapiens	Metazoa	224		0	False	1
A9UHW6	Homo sapiens	Metazoa	222		0	False	0
Q5IBH7	Mus musculus	Metazoa	310		0	False	0
Q02614	Mus musculus	Metazoa	308		0	False	4
P11638	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	816		0	False	1
Q96BI1	Homo sapiens	Metazoa	424		0	True	4
Q9SZR3	Arabidopsis thaliana	Viridiplantae	1017		0	False	0
P34162	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210		0	False	2
P48526	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1002		0	False	1
Q9JJ09	Rattus norvegicus	Metazoa	695		0	False	1
O94606	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	473		0	False	2
Q6C6R8	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	417		0	False	0
O60829	Homo sapiens	Metazoa	102		0	False	1
Q96KR7	Homo sapiens	Metazoa	559		0	False	4
Q9BT43	Homo sapiens	Metazoa	218		0	False	3
P31376	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	625		0	False	1
Q8WUG5	Homo sapiens	Metazoa	649		0	False	1
Q5GH62	Mus musculus	Metazoa	373		0	True	0
O74791	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	470		0	False	1
P40064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1391		0	False	0
O22802	Arabidopsis thaliana	Viridiplantae	97		0	True	4
Q96AP0	Homo sapiens	Metazoa	458		0	False	3
Q01454	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	927		0	False	2
Q96HA7	Homo sapiens	Metazoa	1378		0	False	3
Q70EL3	Homo sapiens	Metazoa	339		0	False	2
O74465	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	999		0	False	4
O09130	Mus musculus	Metazoa	412		0	False	3
Q9LZ08	Arabidopsis thaliana	Viridiplantae	214		0	False	4
E5FYH0	Ovis aries	Metazoa	1599		0	False	3
Q8H0V5	Arabidopsis thaliana	Viridiplantae	354		0	False	1
P25655	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2108		0	False	2
E9P8D2	Saccharomyces cerevisiae	Fungi	229		0	False	2
Q94JY0	Arabidopsis thaliana	Viridiplantae	330		0	False	3
Q45VK7	Mus musculus	Metazoa	4306		0	False	3
P91082	Caenorhabditis elegans	Metazoa	317		0	False	4
Q23794	Chironomus tentans	Metazoa	99		0	False	2
P47002	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	699		0	False	2
O74828	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	682		0	False	2
Q10154	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	240		0	False	2
A1Z8D0	Drosophila melanogaster	Metazoa	459		0	False	2
Q15365	Homo sapiens	Metazoa	356		0	False	4
Q501F9	Arabidopsis thaliana	Viridiplantae	370		0	False	3
F4IHY7	Arabidopsis thaliana	Viridiplantae	527		0	False	4
P11746	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286		0	False	0
O74433	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	67		0	True	3
Q9FJH5	Arabidopsis thaliana	Viridiplantae	283		0	False	2
Q9M670	Arabidopsis thaliana	Viridiplantae	366		0	False	2
C8VSZ2	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	370		0	False	2
P42841	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465		0	False	2
Q9VDE8	Drosophila melanogaster	Metazoa	974		0	False	4
Q01649	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	594		0	False	0
Q9CQH3	Mus musculus	Metazoa	189		0	True	4
Q9W4S7	Drosophila melanogaster	Metazoa	717		0	False	1
Q54HS3	Dictyostelium discoideum	Other	1486		0	False	4
Q15233	Homo sapiens	Metazoa	471		0	False	4
P49728	Chlamydomonas reinhardtii	Viridiplantae	206		0	True	1
P06774	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	265		0	False	0
Q9C6T1	Arabidopsis thaliana	Viridiplantae	505		0	False	1
Q9H7E2	Homo sapiens	Metazoa	651		0	False	1
Q9Y5W9	Homo sapiens	Metazoa	270		0	False	4
Q9BZC1	Homo sapiens	Metazoa	486		0	False	3
Q9NAN2	Caenorhabditis elegans	Metazoa	309		0	False	3
Q4W9R0	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	153		0	False	1
Q9VBB3	Drosophila melanogaster	Metazoa	328		0	False	0
O23193	Arabidopsis thaliana	Viridiplantae	236		0	False	3
Q9SIV2	Arabidopsis thaliana	Viridiplantae	891		0	False	2
Q8W1E3	Arabidopsis thaliana	Viridiplantae	298		0	False	3
Q9VT00	Drosophila melanogaster	Metazoa	2351		0	False	1
Q8IYW5	Homo sapiens	Metazoa	571		0	False	2
Q9H6Z4	Homo sapiens	Metazoa	567		0	False	2
Q8TB37	Homo sapiens	Metazoa	319		0	False	3
Q8N8Q8	Homo sapiens	Metazoa	333		0	False	4
Q8H1D9	Arabidopsis thaliana	Viridiplantae	605		0	False	3
Q11107	Caenorhabditis elegans	Metazoa	2248		0	False	2
Q00312	Candida albicans	Fungi	527		0	False	1
P34224	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	193		0	False	1
O74317	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	113		0	False	0
Q03776	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	544		0	False	4
Q9NXV6	Homo sapiens	Metazoa	580		0	False	0
Q811I0	Mus musculus	Metazoa	324		0	False	1
Q9ULP9	Homo sapiens	Metazoa	559		0	False	0
Q8RWG2	Arabidopsis thaliana	Viridiplantae	652		0	False	0
Q501D5	Arabidopsis thaliana	Viridiplantae	589		0	False	3
Q5SV85	Mus musculus	Metazoa	1306		0	False	2
Q965W2	Caenorhabditis elegans	Metazoa	407		0	False	3
Q23500	Caenorhabditis elegans	Metazoa	887		0	False	1
Q9UU76	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	642		0	False	4
Q63638	Rattus norvegicus	Metazoa	3259		0	False	0
Q8WWV3	Homo sapiens	Metazoa	396		0	False	1
Q06623	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	655		0	False	3
Q9P7J2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	203		0	False	4
Q9Y7L8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	292		0	False	1
P23326	Spinacia oleracea	Viridiplantae	159		0	False	0
Q8IRB5	Drosophila melanogaster	Metazoa	1465		0	False	0
O15164	Homo sapiens	Metazoa	1050		0	False	0
A9JRD8	Danio rerio	Metazoa	540		0	False	3
Q9D385	Mus musculus	Metazoa	163		0	False	2
Q9UK99	Homo sapiens	Metazoa	471		0	False	3
Q9D328	Mus musculus	Metazoa	167		0	True	2
Q9P6P2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	265		0	False	2
A0A509AKT6	Plasmodium berghei (strain Anka)	Other	455		0	True	4
Q9UL03	Homo sapiens	Metazoa	887		0	False	4
Q9I9B9	Torpedo marmorata	Metazoa	646		0	True	3
P53838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	576		0	True	1
P48629	Spinacia oleracea	Viridiplantae	447		0	False	3
Q08024	Mus musculus	Metazoa	187		0	False	3
Q9Z206	Mus musculus	Metazoa	595		0	False	3
Q03976	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	319		0	False	1
Q5HYK7	Homo sapiens	Metazoa	790		0	False	4
A0A2H1A5W4	Candidozyma auris	Fungi	679		0	False	0
Q06625	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1536		0	False	0
